block,accuracy,accuracy_drop,vision_latency_median_ms,vision_speedup_vs_baseline
0,0.7133333333333334,0.2533333333333333,70.22300720214844,1.0029779656615896
1,0.9333333333333333,0.033333333333333326,69.35552215576172,1.0155230141310216
2,0.95,0.01666666666666672,80.1744613647461,0.8784858383497673
3,0.9566666666666667,0.010000000000000009,80.0629768371582,0.8797090951227483
4,0.96,0.00666666666666671,79.7863998413086,0.8827585784837542
5,0.9633333333333334,0.0033333333333332993,79.83216094970703,0.8822525667396264
6,0.9633333333333334,0.0033333333333332993,71.08792114257812,0.9907749132934577
7,0.9566666666666667,0.010000000000000009,80.12841796875,0.8789906339311286
8,0.97,-0.0033333333333332993,69.12262344360352,1.0189446724879432
9,0.97,-0.0033333333333332993,69.09750366210938,1.019315100740354
10,0.9633333333333334,0.0033333333333332993,73.21395111083984,0.9620042059964993
11,0.9633333333333334,0.0033333333333332993,70.34479904174805,1.0012414544599115
12,0.9533333333333334,0.013333333333333308,69.57782363891602,1.0122784131876204
13,0.9566666666666667,0.010000000000000009,71.49380874633789,0.9851500450360008
14,0.9533333333333334,0.013333333333333308,78.53443145751953,0.8968312063779033
15,0.9333333333333333,0.033333333333333326,75.21790313720703,0.9363745327727739
16,0.9633333333333334,0.0033333333333332993,69.82281494140625,1.0087265740482545
17,0.9533333333333334,0.013333333333333308,79.82854461669922,0.8822925338853842
18,0.9633333333333334,0.0033333333333332993,77.55678176879883,0.9081363009132093
19,0.9533333333333334,0.013333333333333308,71.12704086303711,0.9902299892086719
20,0.9733333333333334,-0.00666666666666671,70.00276947021484,1.0061334635655785
21,0.96,0.00666666666666671,69.38922882080078,1.0150297114288809
22,0.9666666666666667,0.0,77.52027130126953,0.9085640145985473
23,0.9633333333333334,0.0033333333333332993,72.15253067016602,0.9761560440370337
24,0.9633333333333334,0.0033333333333332993,69.30310440063477,1.0162911101224044
25,0.9666666666666667,0.0,69.37126159667969,1.0152926051098528
26,0.96,0.00666666666666671,68.9361572265625,1.0217008278365576
27,0.96,0.00666666666666671,69.6780014038086,1.0108230357824268
28,0.9566666666666667,0.010000000000000009,78.76513290405273,0.8942044063081372
29,0.94,0.026666666666666727,73.89447784423828,0.9531446863284352
30,0.95,0.01666666666666672,80.08766174316406,0.8794379480340089
31,0.9433333333333334,0.023333333333333317,75.67776107788086,0.9306846278627017
