block,accuracy,accuracy_drop,vision_latency_median_ms,vision_speedup_vs_baseline
0,0.6425675675675676,0.1736486486486486,68.34841537475586,1.0165259195852103
1,0.7797297297297298,0.03648648648648645,71.55587387084961,0.9709606218549657
2,0.802027027027027,0.01418918918918921,70.26854705810547,0.9887487175957106
3,0.8074324324324325,0.00878378378378375,68.04068756103516,1.0211233642912736
4,0.8033783783783783,0.012837837837837873,68.10771179199219,1.0201184853076293
5,0.8054054054054054,0.010810810810810811,68.25064086914062,1.0179821743246065
6,0.8060810810810811,0.010135135135135087,69.43118286132812,1.0006733707789608
7,0.7763513513513514,0.039864864864864846,69.17375946044922,1.00439727915526
8,0.8,0.01621621621621616,68.68787384033203,1.0115022041957527
9,0.8108108108108109,0.00540540540540535,68.21126174926758,1.0185698667531486
10,0.8040540540540541,0.012162162162162149,71.15273666381836,0.9764618909780545
11,0.8027027027027027,0.013513513513513487,68.80143737792969,1.0098326203473031
12,0.802027027027027,0.01418918918918921,68.0136947631836,1.0215286205657605
13,0.793918918918919,0.022297297297297236,69.14969635009766,1.004746795116151
14,0.7412162162162163,0.07499999999999996,68.46671676635742,1.0147694978292736
15,0.6054054054054054,0.21081081081081077,68.53025817871094,1.013828601226532
16,0.7716216216216216,0.04459459459459458,68.20316696166992,1.0186907571324675
17,0.7858108108108108,0.030405405405405372,68.46003341674805,1.0148685637950412
18,0.7810810810810811,0.03513513513513511,68.9875373840332,1.0071085072112738
19,0.7885135135135135,0.027702702702702697,68.18284606933594,1.018994362898297
20,0.8027027027027027,0.013513513513513487,68.44779205322266,1.015050065267145
21,0.7959459459459459,0.020270270270270285,68.55763244628906,1.013423791223356
22,0.8,0.01621621621621616,68.15425872802734,1.0194217806442658
23,0.7736486486486487,0.04256756756756752,68.24702453613281,1.018036116054131
24,0.8108108108108109,0.00540540540540535,68.22947311401367,1.0182979967457133
25,0.8114864864864865,0.004729729729729737,68.70425415039062,1.0112610441695713
26,0.7959459459459459,0.020270270270270285,68.30110549926758,1.0172300328544561
27,0.802027027027027,0.01418918918918921,68.53329467773438,1.0137836816064842
28,0.8148648648648649,0.0013513513513513375,68.21770858764648,1.0184736079452155
29,0.8033783783783783,0.012837837837837873,69.5439338684082,0.999050987286433
30,0.8067567567567567,0.009459459459459474,68.42515182495117,1.0153859207906142
31,0.7385135135135135,0.07770270270270274,68.30636978149414,1.0171516362715398
