block,overall_drop_pp,lost_correct,recovered_correct,vision_latency_median_ms,vision_speedup_vs_baseline,attribute_drop_pp,counting_drop_pp,object_drop_pp,ocr_drop_pp,spatial_drop_pp
0,17.36486486486486,324,67,68.34841537475586,1.0165259195852103,16.666666666666664,14.722222222222225,11.944444444444446,27.941176470588236,15.555555555555555
1,3.6486486486486447,98,44,71.55587387084961,0.9709606218549657,-1.6666666666666607,2.777777777777779,1.6666666666666718,7.352941176470596,3.888888888888886
2,1.418918918918921,54,33,70.26854705810547,0.9887487175957106,0.0,0.8333333333333304,-0.5555555555555536,4.4117647058823595,1.388888888888895
3,0.878378378378375,47,34,68.04068756103516,1.0211233642912736,-1.6666666666666607,0.2777777777777768,-0.2777777777777768,3.529411764705892,0.5555555555555536
4,1.2837837837837873,48,29,68.10771179199219,1.0201184853076293,1.6666666666666718,1.388888888888895,0.5555555555555647,2.6470588235294135,0.5555555555555536
5,1.0810810810810811,45,29,68.25064086914062,1.0179821743246065,0.0,1.9444444444444486,0.2777777777777879,0.2941176470588225,1.9444444444444486
6,1.0135135135135087,44,29,69.43118286132812,1.0006733707789608,-1.6666666666666607,0.5555555555555536,0.2777777777777879,2.6470588235294135,1.1111111111111072
7,3.9864864864864846,109,50,69.17375946044922,1.00439727915526,-1.6666666666666607,2.2222222222222254,0.0,13.235294117647067,1.9444444444444486
8,1.6216216216216162,48,24,68.68787384033203,1.0115022041957527,-3.3333333333333326,1.1111111111111183,1.6666666666666718,3.2352941176470584,1.388888888888895
9,0.540540540540535,33,25,68.21126174926758,1.0185698667531486,0.0,-0.2777777777777768,-1.1111111111111072,1.176470588235301,2.500000000000002
10,1.216216216216215,49,31,71.15273666381836,0.9764618909780545,1.6666666666666718,0.5555555555555536,-1.1111111111111072,4.4117647058823595,1.1111111111111072
11,1.3513513513513487,52,32,68.80143737792969,1.0098326203473031,0.0,-1.6666666666666607,1.1111111111111183,3.2352941176470584,3.055555555555556
12,1.418918918918921,48,27,68.0136947631836,1.0215286205657605,1.6666666666666718,-1.9444444444444375,0.2777777777777879,5.588235294117649,1.9444444444444486
13,2.2297297297297236,58,25,69.14969635009766,1.004746795116151,-1.6666666666666607,0.8333333333333304,2.2222222222222254,5.294117647058827,1.388888888888895
14,7.499999999999996,149,38,68.46671676635742,1.0147694978292736,-1.6666666666666607,1.6666666666666718,1.9444444444444486,25.588235294117656,3.3333333333333326
15,21.081081081081077,359,47,68.53025817871094,1.013828601226532,3.3333333333333326,7.777777777777784,7.500000000000007,63.82352941176471,10.555555555555562
16,4.459459459459458,97,31,68.20316696166992,1.0186907571324675,0.0,1.1111111111111183,2.2222222222222254,16.176470588235304,-0.2777777777777768
17,3.0405405405405372,81,36,68.46003341674805,1.0148685637950412,3.3333333333333326,-1.6666666666666607,0.0,12.941176470588244,1.388888888888895
18,3.513513513513511,82,30,68.9875373840332,1.0071085072112738,1.6666666666666718,-0.8333333333333304,0.8333333333333415,13.823529411764712,1.1111111111111072
19,2.7702702702702697,68,27,68.18284606933594,1.018994362898297,0.0,0.0,1.9444444444444486,9.411764705882353,0.5555555555555536
20,1.3513513513513487,55,35,68.44779205322266,1.015050065267145,1.6666666666666718,-0.8333333333333304,-0.2777777777777768,6.176470588235294,0.5555555555555536
21,2.0270270270270285,69,39,68.55763244628906,1.013423791223356,-1.6666666666666607,-0.8333333333333304,-0.5555555555555536,8.529411764705886,1.9444444444444486
22,1.6216216216216162,52,28,68.15425872802734,1.0194217806442658,1.6666666666666718,1.1111111111111183,0.5555555555555647,4.705882352941182,0.2777777777777768
23,4.256756756756753,115,52,68.24702453613281,1.018036116054131,0.0,0.8333333333333304,-0.2777777777777768,15.588235294117647,2.2222222222222254
24,0.540540540540535,42,34,68.22947311401367,1.0182979967457133,1.6666666666666718,-3.888888888888886,0.5555555555555647,4.117647058823537,1.388888888888895
25,0.4729729729729737,36,29,68.70425415039062,1.0112610441695713,-1.6666666666666607,-1.6666666666666607,0.0,2.941176470588236,1.1111111111111072
26,2.0270270270270285,53,23,68.30110549926758,1.0172300328544561,1.6666666666666718,1.9444444444444486,1.388888888888895,4.4117647058823595,0.5555555555555536
27,1.418918918918921,52,31,68.53329467773438,1.0137836816064842,1.6666666666666718,-1.9444444444444375,2.2222222222222254,3.8235294117647145,1.6666666666666718
28,0.13513513513513375,35,33,68.21770858764648,1.0184736079452155,1.6666666666666718,-2.2222222222222254,0.5555555555555647,1.176470588235301,0.8333333333333304
29,1.2837837837837873,51,32,69.5439338684082,0.999050987286433,-1.6666666666666607,-0.5555555555555536,1.1111111111111183,5.000000000000004,0.2777777777777768
30,0.9459459459459474,57,43,68.42515182495117,1.0153859207906142,5.000000000000004,-2.500000000000002,-1.6666666666666607,6.764705882352951,0.8333333333333304
31,7.770270270270274,156,41,68.30636978149414,1.0171516362715398,1.6666666666666718,6.944444444444442,4.166666666666674,15.88235294117647,5.555555555555558
